"cement","water_cement_ratio","admixture","temperature","humidity","curing_type","time_hours","strength"
"402","0.43","1","28","67","ambient","23","28"
"364","0.56","0.8","39","86","water","8","19"
"408","0.42","0.8","32","51","water","21","28"
"422","0.47","1.8","56","69","steam","16","31"
"443","0.39","2.2","49","93","steam","11","32"
"366","0.48","1.6","28","86","ambient","18","26"
"490","0.37","1.1","55","51","water","19","34"
"356","0.48","2.3","36","64","steam","22","32"
"452","0.38","0.5","53","89","water","13","30"
"337","0.54","2.3","67","57","ambient","18","30"
"343","0.39","1.3","33","56","water","11","21"
"422","0.45","1","64","52","steam","19","35"
"355","0.42","2.4","25","48","steam","14","25"
"335","0.59","1.6","25","81","water","11","17"
"362","0.59","1.9","66","77","water","21","33"
"468","0.36","1.6","42","69","steam","13","33"
"350","0.55","0.5","34","86","ambient","24","26"
"402","0.56","2.1","59","50","water","20","31"
"413","0.43","0.5","44","80","water","9","23"
"362","0.54","1.8","52","92","steam","9","24"
"493","0.52","1.6","34","55","ambient","23","30"
"464","0.42","1.6","69","84","water","13","34"
"338","0.36","1.9","28","78","steam","17","28"
"468","0.46","2.1","42","40","steam","18","31"
"383","0.54","1","68","52","steam","9","24"
"493","0.43","0.7","33","64","steam","11","24"
"416","0.6","0.8","38","73","water","15","21"
"498","0.46","1","23","48","water","23","32"
"469","0.5","0.8","30","41","water","24","29"
"383","0.54","0.9","63","68","water","8","22"
"487","0.4","2","32","76","ambient","16","30"
"367","0.44","2.4","36","90","steam","24","36"
"467","0.58","1.8","37","58","steam","22","30"
"475","0.45","0.9","34","90","water","20","33"
"467","0.54","1.2","58","87","ambient","23","34"
"451","0.5","2.5","33","74","water","5","20"
"401","0.46","2","53","75","ambient","22","34"
"426","0.6","1.7","45","68","ambient","6","18"
"327","0.38","1.9","41","46","ambient","7","19"
"338","0.37","1.2","69","56","ambient","12","28"
"405","0.43","2.1","50","89","water","17","32"
"415","0.56","0.5","36","56","steam","10","19"
"325","0.32","0.9","41","57","water","23","32"
"440","0.44","0.6","70","44","ambient","18","31"
"484","0.51","1.4","38","51","steam","24","35"
"383","0.35","1.4","50","54","ambient","11","24"
"367","0.41","1.3","31","55","steam","14","26"
"446","0.46","1.6","25","82","steam","17","30"
"422","0.52","1.9","47","59","ambient","8","22"
"370","0.5","2.1","60","86","water","12","26"
"446","0.4","1.6","64","78","ambient","12","30"
"385","0.52","1.4","41","52","ambient","16","23"
"492","0.43","2","22","53","water","23","34"
"482","0.39","1.4","62","87","ambient","20","38"
"449","0.35","1.4","67","59","ambient","14","33"
"355","0.42","2.4","28","59","water","15","25"
"398","0.6","0.8","20","54","water","21","23"
"376","0.55","0.5","41","49","water","21","26"
"445","0.59","0.7","63","55","ambient","21","30"
"407","0.38","1.3","45","59","water","12","27"
"375","0.57","1.6","25","70","water","12","19"
"392","0.51","1.6","33","60","steam","14","25"
"357","0.58","1.4","41","47","water","23","28"
"342","0.36","0.9","21","94","steam","10","23"
"421","0.54","0.6","43","70","water","20","28"
"422","0.36","1","26","60","water","18","29"
"472","0.49","1.2","55","85","ambient","24","35"
"492","0.5","1.2","47","48","ambient","10","21"
"468","0.43","2.3","65","41","ambient","13","29"
"485","0.57","2","27","74","steam","16","28"
"494","0.34","2.5","65","56","ambient","6","30"
"433","0.33","1.6","20","72","steam","9","25"
"465","0.37","1.2","20","40","ambient","11","22"
"500","0.58","1.2","25","77","ambient","4","14"
"495","0.56","0.9","28","75","ambient","17","25"
"481","0.56","2","37","65","water","22","33"
"320","0.55","1.7","34","62","ambient","19","24"
"338","0.54","1.4","55","43","steam","16","26"
"400","0.41","1.4","58","62","ambient","4","20"
"469","0.5","1.9","66","52","steam","17","35"
"361","0.44","1","25","45","water","21","25"
"489","0.51","0.6","35","63","water","18","28"
"408","0.35","0.7","53","45","steam","20","33"
"402","0.36","1.1","57","81","water","8","27"
"384","0.39","2","42","79","water","24","36"
"335","0.46","0.7","51","92","ambient","20","28"
"371","0.46","1.7","33","41","steam","4","16"
"494","0.38","1.3","40","56","steam","20","34"
"459","0.35","1.4","23","86","ambient","21","30"
"335","0.6","0.9","55","59","water","7","15"
"479","0.47","1.3","48","57","steam","23","36"
"493","0.49","0.7","43","63","water","4","18"
"409","0.33","0.9","49","61","water","10","26"
"478","0.56","2.2","42","58","steam","9","23"
"337","0.56","2.3","20","49","ambient","9","14"
"453","0.6","1.9","45","64","water","4","17"
"330","0.57","2.5","40","76","steam","23","31"
"423","0.36","2.2","22","57","ambient","5","19"
"371","0.59","2.2","29","45","ambient","20","23"
"336","0.56","0.7","55","94","water","17","27"
"447","0.56","0.8","52","46","ambient","8","20"
"386","0.35","0.7","20","43","water","5","16"
"481","0.43","1.8","38","55","water","23","36"
"437","0.52","0.9","46","55","water","6","19"
"496","0.45","0.5","65","64","water","21","37"
"353","0.52","0.9","21","77","ambient","20","23"
"400","0.54","2.2","54","43","water","20","30"
"423","0.32","0.6","27","53","water","17","26"
"397","0.42","0.7","59","61","steam","7","25"
"341","0.36","1.6","52","69","ambient","17","30"
"325","0.45","2.5","45","53","steam","14","28"
"320","0.52","1.3","42","59","water","12","19"
"324","0.34","2.4","61","76","water","10","28"
"331","0.56","1.5","67","89","ambient","21","32"
"369","0.39","1.4","35","50","ambient","12","23"
"422","0.6","1.3","36","56","steam","16","25"
"338","0.59","0.5","54","62","steam","12","22"
"340","0.36","0.7","29","44","water","7","17"
"392","0.36","1.9","36","75","water","16","30"
"370","0.51","2","41","88","ambient","15","24"
"367","0.33","0.9","36","80","ambient","11","25"
"482","0.59","2.2","36","52","steam","6","21"
"474","0.43","1.8","28","67","ambient","6","21"
"327","0.47","2.4","49","68","water","5","21"
"397","0.55","1.3","60","92","ambient","16","28"
"331","0.51","1.4","24","53","ambient","9","15"
"362","0.59","1.3","42","44","ambient","8","14"
"337","0.36","1.4","44","83","water","16","31"
"406","0.58","2.1","63","90","ambient","22","35"
"494","0.45","0.6","38","88","water","9","22"
"497","0.38","1.8","61","75","ambient","15","34"
"335","0.6","1.4","30","58","ambient","6","11"
"321","0.47","2.3","35","70","water","19","28"
"337","0.45","2.4","34","71","water","24","31"
"441","0.43","0.6","40","88","steam","4","20"
"441","0.46","0.6","23","87","water","9","19"
"419","0.53","1","29","75","water","8","17"
"401","0.43","1.2","64","87","ambient","24","38"
"464","0.38","0.9","63","90","steam","7","28"
"368","0.42","1.4","39","70","water","22","33"
"389","0.35","0.7","54","84","ambient","6","21"
"455","0.41","0.6","27","82","water","13","26"
"461","0.46","1.9","28","85","water","11","23"
"356","0.46","2.3","31","65","ambient","9","21"
"441","0.54","2.5","55","58","ambient","19","31"
"450","0.38","1.7","54","67","water","19","37"
"349","0.52","1.1","40","68","ambient","21","27"
"465","0.45","0.5","48","85","ambient","15","27"
"466","0.33","1.3","66","50","water","21","40"
"353","0.55","1.5","63","95","water","8","24"
"447","0.48","1","36","92","ambient","18","29"
"345","0.33","0.5","47","91","water","8","23"
"464","0.5","2.4","52","54","water","6","25"
"476","0.38","2.3","47","76","ambient","21","38"
"420","0.45","0.6","56","70","steam","11","28"
"461","0.33","0.9","51","87","water","19","37"
"400","0.42","0.5","56","78","steam","20","35"
"454","0.4","0.6","35","51","steam","8","23"
"469","0.58","1.7","64","89","water","11","28"
"471","0.56","0.9","57","54","water","6","22"
